zip,expos_24,expos_23,expos_22,expos_21,expos_20
90001,744677082,635048691,565624601,531334332,506881488
90002,511211425,429482334,401097849,376062799,368275363
90003,796037581,619687790,553509144,518256363,512857861
90004,365649109,271919705,208090380,205188959,197807081
90005,111251506,74051546,57274330,62559731,50429364
90006,379606721,280636299,253780878,241557041,242615576
90007,339845908,243304669,237506732,211637424,194005244
90008,205611641,138763906,131737574,122689182,126502272
90011,1174793282,970094248,880507496,841376480,817446133
90012,128961867,53235962,36062200,36870279,33002169
90013,115975958,40516300,11638013,15588687,12327574
90014,80107446,37223531,20336621,19430000,26380000
90015,219810465,135048388,92030311,60562002,48852036
90016,327180910,286588832,252519060,247862628,253499776
90017,88272592,31230726,26056232,19443829,15551920
90018,533669779,452230041,422601797,402750674,398851347
90019,544401825,423401425,371952813,369494040,377322527
90020,88647958,47840661,37273273,28688746,25084371
90021,256971878,179558470,71542276,42305462,23266901
90022,495037076,402530273,376430586,364680741,348435857
90023,487495383,401020242,353592329,326904279,310125626
90024,123520479,49381842,31995407,22102763,24078581
90025,51882215,33074442,26439032,23892725,23507077
90026,430581455,350767100,319103070,307690534,306185257
90027,474322665,338563757,250370822,204328409,151017254
90028,93219450,49055436,23968269,23414153,20065822
90029,174206543,136165134,109892368,105857676,114647848
90031,368550793,306027235,251930641,251253522,233393551
90032,289747840,242011486,215306581,200113169,203724902
90033,323077696,277870377,258911732,246115738,246151342
90034,129534284,59815373,50059489,50092612,53611619
90035,106272534,50880484,46687110,39295299,40176581
90036,163461886,86861826,64469494,51422637,51651535
90037,749252756,626791105,570540781,541468333,523506963
90038,79060877,52491857,45251041,48706156,45851659
90039,207590633,160729588,134106068,131567251,130226597
90040,117134328,71745081,67970728,56438166,47998153
90041,197340064,138857886,121406568,116650343,108793185
90042,426145898,339048058,302366855,278310271,282539493
90043,411322299,311149201,286517641,271245219,277314803
90044,868588405,689508134,621354081,590818311,588825102
90045,30685224,27173734,19139871,18942204,15767751
90046,3024374642,2853313770,2457013270,1886399625,1416509479
90047,533707301,386532706,345657342,332093752,328909725
90048,137874020,67686052,59808293,65619901,60700199
90049,3644617582,2254618253,1902102721,1375219495,916505598
90056,45820265,22601906,15599315,16246692,20250128
90057,89687348,81702204,69636230,46375814,41773700
90058,160108035,94361050,52190436,31713684,19937901
90059,305186287,265698545,255023983,242886130,231203284
90061,224079124,192013226,174406516,160855270,151165188
90062,426638652,377804802,336243352,334114304,326915117
90063,570397878,482704547,456568917,442972389,423847797
90064,82985116,35695431,24280925,24250612,23785403
90065,556537072,414607836,360567818,317525374,310854719
90066,92976341,55442475,37573949,37290771,34581799
90067,5858815,3141645,1058932,1141448,646435
90068,2026669207,1726224742,1426587916,1104410603,898923944
90069,618357831,499021112,426401620,301669562,192655935
90071,0,883895,819750,0,0
90077,3546395306,2923169918,2561635350,1956877289,1299566779
90089,1395458,2079470,2465662,2733341,2575809
90094,7946889,1149250,427050,252500,0
90095,0,909563,848209,0,0
90201,466245927,355075150,308749161,281641387,262925854
90210,4953876587,4373971797,3761970318,2739336991,1755054955
90211,70077214,41040353,29099584,27060880,26977118
