ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
94501,33.3%,1 04,4.0%,7 8,-6.3%,7 5,0.0%,8 0,8 0
94502,250.0%,7,0.0%,2,100.0%,2,0.0%,1,1
94536,210.5%,5 9,72.7%,1 9,22.2%,1 1,-10.0%,9,1 0
94538,140.0%,2 4,66.7%,1 0,20.0%,6,25.0%,5,4
94539,247.1%,5 9,112.5%,1 7,166.7%,8,-25.0%,3,4
94541,55.4%,1 15,12.1%,7 4,4.8%,6 6,-13.7%,6 3,7 3
94542,190.5%,1 22,40.0%,4 2,0.0%,3 0,42.9%,3 0,2 1
94544,268.4%,7 0,35.7%,1 9,-12.5%,1 4,-11.1%,1 6,1 8
94545,81.3%,2 9,33.3%,1 6,-29.4%,1 2,-19.0%,1 7,2 1
94546,245.7%,1 21,118.8%,3 5,-11.1%,1 6,-5.3%,1 8,1 9
94550,22.0%,5 0,24.2%,4 1,22.2%,3 3,0.0%,2 7,2 7
94551,370.4%,1 27,80.0%,2 7,15.4%,1 5,0.0%,1 3,1 3
94552,101.4%,2 90,37.1%,1 44,40.0%,1 05,23.0%,7 5,6 1
94555,425.0%,2 1,33.3%,4,0.0%,3,0.0%,3,3
94560,133.3%,1 4,-14.3%,6,-12.5%,7,-20.0%,8,1 0
94566,575.0%,1 89,100.0%,2 8,40.0%,1 4,11.1%,1 0,9
94568,560.0%,9 9,114.3%,1 5,40.0%,7,150.0%,5,2
94577,320.0%,8 4,11.1%,2 0,-35.7%,1 8,12.0%,2 8,2 5
94578,270.0%,3 7,11.1%,1 0,-35.7%,9,16.7%,1 4,1 2
94579,1050.0%,2 3,0.0%,2,-33.3%,2,-25.0%,3,4
94580,150.0%,1 5,-14.3%,6,0.0%,7,0.0%,7,7
94586,57.4%,7 4,20.5%,4 7,44.4%,3 9,-3.6%,2 7,2 8
94587,657.1%,5 3,40.0%,7,-37.5%,5,0.0%,8,8
94588,242.1%,1 30,81.0%,3 8,162.5%,2 1,60.0%,8,5
94601,40.9%,1 86,0.8%,1 32,-3.7%,1 31,-9.9%,1 36,1 51
94602,121.3%,1 66,8.7%,7 5,3.0%,6 9,36.7%,6 7,4 9
94603,14.9%,7 7,-5.6%,6 7,-9.0%,7 1,-11.4%,7 8,8 8
94605,74.9%,3 27,17.6%,1 87,3.2%,1 59,27.3%,1 54,1 21
94606,103.7%,1 10,-11.5%,5 4,0.0%,6 1,-11.6%,6 1,6 9
94607,15.2%,7 6,10.0%,6 6,-10.4%,6 0,-13.0%,6 7,7 7
94608,31.4%,9 2,11.1%,7 0,-4.5%,6 3,-20.5%,6 6,8 3
94609,62.8%,7 0,10.3%,4 3,-9.3%,3 9,-6.5%,4 3,4 6
94610,152.2%,5 8,53.3%,2 3,15.4%,1 5,-13.3%,1 3,1 5
94611,42.6%,"1 ,666",16.7%,"1 ,168",26.5%,"1 ,001",44.6%,7 91,5 47
94612,23.5%,2 1,21.4%,1 7,-6.7%,1 4,-11.8%,1 5,1 7
94618,489.5%,1 12,72.7%,1 9,-8.3%,1 1,-7.7%,1 2,1 3
94619,80.6%,2 24,26.5%,1 24,15.3%,9 8,-3.4%,8 5,8 8
94621,50.0%,1 41,-1.1%,9 4,-5.0%,9 5,-6.5%,1 00,1 07
94702,157.9%,4 9,11.8%,1 9,-5.6%,1 7,0.0%,1 8,1 8
94703,108.1%,7 7,37.0%,3 7,0.0%,2 7,-3.6%,2 7,2 8
94704,103.0%,6 7,50.0%,3 3,15.8%,2 2,26.7%,1 9,1 5
94705,138.9%,2 58,10.2%,1 08,42.0%,9 8,50.0%,6 9,4 6
94706,253.8%,4 6,85.7%,1 3,-22.2%,7,50.0%,9,6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 2 o,f 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
94707,692.9%,2 22,27.3%,2 8,22.2%,2 2,28.6%,1 8,1 4
94708,113.3%,3 86,29.3%,1 81,32.1%,1 40,51.4%,1 06,7 0
94709,118.8%,3 5,6.7%,1 6,7.1%,1 5,-12.5%,1 4,1 6
94710,8.0%,2 7,8.7%,2 5,-8.0%,2 3,-3.8%,2 5,2 6
94720,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
95364,20.6%,1 52,6.8%,1 26,22.9%,1 18,1.1%,9 6,9 5
96120,10.5%,1 79,18.2%,1 62,19.1%,1 37,16.2%,1 15,9 9
