ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
90001,744677082,635048691,565624601,531334332,506881488,1673,1734,1752,1814,1860
90002,511211425,429482334,401097849,376062799,368275363,1106,1126,1170,1209,1274
90003,796037581,619687790,553509144,518256363,512857861,1597,1547,1560,1623,1719
90004,365649109,271919705,208090380,205188959,197807081,339,322,308,334,359
90005,111251506,74051546,57274330,62559731,50429364,94,68,68,77,73
90006,379606721,280636299,253780878,241557041,242615576,472,455,456,491,513
90007,339845908,243304669,237506732,211637424,194005244,370,371,414,433,454
90008,205611641,138763906,131737574,122689182,126502272,208,198,198,211,230
90011,1174793282,970094248,880507496,841376480,817446133,2398,2408,2440,2597,2719
90012,128961867,53235962,36062200,36870279,33002169,87,74,69,79,70
90013,115975958,40516300,11638013,15588687,12327574,9,5,4,5,3
90014,80107446,37223531,20336621,19430000,26380000,5,0,0,0,0
90015,219810465,135048388,92030311,60562002,48852036,78,78,76,64,68
90016,327180910,286588832,252519060,247862628,253499776,553,568,574,620,671
90017,88272592,31230726,26056232,19443829,15551920,19,12,14,12,11
90018,533669779,452230041,422601797,402750674,398851347,883,892,910,977,1029
90019,544401825,423401425,371952813,369494040,377322527,605,567,568,608,674
90020,88647958,47840661,37273273,28688746,25084371,40,26,24,21,28
90021,256971878,179558470,71542276,42305462,23266901,14,13,11,11,11
90022,495037076,402530273,376430586,364680741,348435857,1057,1060,1094,1163,1220
90023,487495383,401020242,353592329,326904279,310125626,1017,1042,1075,1135,1169
90024,123520479,49381842,31995407,22102763,24078581,80,39,32,31,34
90025,51882215,33074442,26439032,23892725,23507077,57,39,42,47,48
90026,430581455,350767100,319103070,307690534,306185257,729,733,742,783,822
90027,474322665,338563757,250370822,204328409,151017254,319,280,243,250,232
90028,93219450,49055436,23968269,23414153,20065822,33,33,36,39,38
90029,174206543,136165134,109892368,105857676,114647848,242,236,222,227,272
90031,368550793,306027235,251930641,251253522,233393551,705,710,687,749,773
